,username,tweet_content,n_favorites,timestamp,mentions
0,luisfwbiano,RT @realmadrid: #RMFans x Cibeles x #CAMPEON35 = 😍 https://t.co/dlvFumXv5G,0,Sat Apr 30 23:59:59 +0000 2022,['realmadrid']
1,RubenMusic4ever,"RT @realmadrid: ✨ ¡SIEMPRE EN MI EQUIPO! ✨
#CAMPEON35 https://t.co/2T9Z8E85oc",0,Sat Apr 30 23:59:59 +0000 2022,['realmadrid']
2,faxx2277,"RT @realmadrid: 🤍 ¡NUESTRA DIOSA! 🤍
#CAMPEON35 https://t.co/OFj38FqSDk",0,Sat Apr 30 23:59:59 +0000 2022,['realmadrid']
3,JorgeAHB19,RT @rnmjtv2: Marcelo le pone la bufanda a la diosa Cibeles #Campeon35 #Campeones https://t.co/eTuLdCX3NA,0,Sat Apr 30 23:59:58 +0000 2022,['rnmjtv2']
4,wantan_ver2,RT @realmadrid: #RMFans x Cibeles x #CAMPEON35 = 😍 https://t.co/dlvFumXv5G,0,Sat Apr 30 23:59:56 +0000 2022,['realmadrid']
5,kushalx7,"RT @realmadrid: ¿Que si valió la pena? Ha valido cada maldito segundo...
#CAMPEON35 https://t.co/d2hBAitmZn",0,Sat Apr 30 23:59:56 +0000 2022,['realmadrid']
6,alex_19_95_,"RT @realmadrid: 🤍 ¡NUESTRA DIOSA! 🤍
#CAMPEON35 https://t.co/OFj38FqSDk",0,Sat Apr 30 23:59:55 +0000 2022,['realmadrid']
7,andredenisse108,"RT @realmadrid: ¿Que si valió la pena? Ha valido cada maldito segundo...
#CAMPEON35 https://t.co/d2hBAitmZn",0,Sat Apr 30 23:59:55 +0000 2022,['realmadrid']
8,luisfwbiano,"RT @realmadrid: 😝 Hoy pronto a casa...
#CAMPEON35 https://t.co/u5ue6C36RD",0,Sat Apr 30 23:59:55 +0000 2022,['realmadrid']
9,wallisonc177,"RT @realmadrid: ¿Que si valió la pena? Ha valido cada maldito segundo...
#CAMPEON35 https://t.co/d2hBAitmZn",0,Sat Apr 30 23:59:54 +0000 2022,['realmadrid']
10,luisfwbiano,"RT @realmadrid: Y NADA MÁS.
#CAMPEON35 https://t.co/mJopahc49L",0,Sat Apr 30 23:59:52 +0000 2022,['realmadrid']
11,Davvonx,RT @realmadrid: #RMFans x Cibeles x #CAMPEON35 = 😍 https://t.co/dlvFumXv5G,0,Sat Apr 30 23:59:52 +0000 2022,['realmadrid']
12,AbdallahJR16,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:59:51 +0000 2022,['realmadrid']
13,luisfwbiano,"RT @realmadrid: Oh Capitán, mi Capitán.
#CAMPEON35 https://t.co/h6PgHl5uPT",0,Sat Apr 30 23:59:51 +0000 2022,['realmadrid']
14,ssandratoledano,"RT @realmadrid: 🤍 ¡NUESTRA DIOSA! 🤍
#CAMPEON35 https://t.co/OFj38FqSDk",0,Sat Apr 30 23:59:49 +0000 2022,['realmadrid']
15,luisfwbiano,"RT @realmadrid: 🤗 @MrAncelotti ❤️ EQUIPO 🤗
#CAMPEON35 https://t.co/ZMy2tA3DKm",0,Sat Apr 30 23:59:49 +0000 2022,"['realmadrid', 'MrAncelotti']"
16,andredenisse108,"RT @realmadrid: 🤍 ¡NUESTRA DIOSA! 🤍
#CAMPEON35 https://t.co/OFj38FqSDk",0,Sat Apr 30 23:59:48 +0000 2022,['realmadrid']
17,SaberiAfsaneh,"RT @RNMJ_TV: Declaraciones de FLORENTINO PEREZ: ""A Benzema no le pueden quitar el Balón de Oro este año""
https://t.co/et9IfIWNpx 

#RealMad…",0,Sat Apr 30 23:59:48 +0000 2022,['RNMJ_TV']
18,JavierVillaro,"RT @realmadrid: 🤍 ¡NUESTRA DIOSA! 🤍
#CAMPEON35 https://t.co/OFj38FqSDk",0,Sat Apr 30 23:59:46 +0000 2022,['realmadrid']
19,mubyjay,RT @realmadriden: #RMFans x Cibeles x #CAMPEON35 = 😍 https://t.co/qeIzTKVAIc,0,Sat Apr 30 23:59:45 +0000 2022,['realmadriden']
20,FranAndres16,"RT @realmadrid: ¿Que si valió la pena? Ha valido cada maldito segundo...
#CAMPEON35 https://t.co/d2hBAitmZn",0,Sat Apr 30 23:59:44 +0000 2022,['realmadrid']
21,RubenMusic4ever,"RT @realmadrid: ©️ @MarceloM12: ""¡CAMPEONES! ¡Esto es para vosotros, #RMFans!""
#CAMPEON35 https://t.co/xoK7dH8zgJ",0,Sat Apr 30 23:59:44 +0000 2022,"['realmadrid', 'MarceloM12']"
22,ky726yaya,"RT @realmadrid: 🤍 ¡NUESTRA DIOSA! 🤍
#CAMPEON35 https://t.co/OFj38FqSDk",0,Sat Apr 30 23:59:43 +0000 2022,['realmadrid']
23,jorgeruiz_10,"RT @realmadrid: 😎 ¿Quién dijo estilo? 😎
#CAMPEON35 https://t.co/uT9Vq3CK5V",0,Sat Apr 30 23:59:42 +0000 2022,['realmadrid']
24,ThisIsJulioo_,"RT @realmadrid: ¿Que si valió la pena? Ha valido cada maldito segundo...
#CAMPEON35 https://t.co/d2hBAitmZn",0,Sat Apr 30 23:59:41 +0000 2022,['realmadrid']
25,_pauulaalopez_,"RT @realmadrid: 🤍 ¡NUESTRA DIOSA! 🤍
#CAMPEON35 https://t.co/OFj38FqSDk",0,Sat Apr 30 23:59:39 +0000 2022,['realmadrid']
26,luisfwbiano,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:59:37 +0000 2022,['realmadrid']
27,lukazidan1,"RT @realmadrid: 😎 ¿Quién dijo estilo? 😎
#CAMPEON35 https://t.co/uT9Vq3CK5V",0,Sat Apr 30 23:59:36 +0000 2022,['realmadrid']
28,andreiixxx,"RT @realmadrid: ❤️ ¡TE QUEREMOS, CARLETTO! ❤️
#CAMPEON35 https://t.co/51lrT2MGHY",0,Sat Apr 30 23:59:35 +0000 2022,['realmadrid']
29,andredenisse108,"RT @realmadrid: 🥳 ¡CÓMO NO OS VAMOS A QUERER! 🥳
#CAMPEON35 https://t.co/2jKGEkS6j4",0,Sat Apr 30 23:59:35 +0000 2022,['realmadrid']
30,airbornemiami,"RT @realmadrid: Oh Capitán, mi Capitán.
#CAMPEON35 https://t.co/h6PgHl5uPT",0,Sat Apr 30 23:59:33 +0000 2022,['realmadrid']
31,Raulvalencia00,"RT @rnmjtv2: Real Madrid oé, oé #Campeon35 #Campeones https://t.co/O9LjCijJzS",0,Sat Apr 30 23:59:32 +0000 2022,['rnmjtv2']
32,agonzalezdi14,"RT @realmadrid: ¿Que si valió la pena? Ha valido cada maldito segundo...
#CAMPEON35 https://t.co/d2hBAitmZn",0,Sat Apr 30 23:59:32 +0000 2022,['realmadrid']
33,Thelma_1201,"RT @realmadrid: 🤍 ¡Ser madridista no tiene precio! 🤍
#CAMPEON35 https://t.co/sT782z7upg",0,Sat Apr 30 23:59:32 +0000 2022,['realmadrid']
34,andredenisse108,"RT @realmadrid: - Luka, tú eres croata.
- Sí, sí, pero juego como brasileño.
#CAMPEON35 https://t.co/lSoNrtWzU0",0,Sat Apr 30 23:59:32 +0000 2022,['realmadrid']
35,RubenMusic4ever,"RT @realmadrid: ❤️ ¡TE QUEREMOS, CARLETTO! ❤️
#CAMPEON35 https://t.co/51lrT2MGHY",0,Sat Apr 30 23:59:30 +0000 2022,['realmadrid']
36,luisfwbiano,"RT @realmadrid: 🏆 ¡Ejercitando brazo que se acerca el veranito!
#CAMPEON35 https://t.co/4GLm4SNV8o",0,Sat Apr 30 23:59:29 +0000 2022,['realmadrid']
37,Yerherbac10,"RT @realmadrid: 🤍 ¡NUESTRA DIOSA! 🤍
#CAMPEON35 https://t.co/OFj38FqSDk",0,Sat Apr 30 23:59:28 +0000 2022,['realmadrid']
38,wallisonc177,"RT @realmadrid: 🤜🤛 ¡@Benzema, un jugador de equipo!
#CAMPEON35 https://t.co/4cuCnqM5PI",0,Sat Apr 30 23:59:28 +0000 2022,"['realmadrid', 'Benzema']"
39,luisfwbiano,"RT @realmadrid: 🤝 El presidente felicitó a los campeones en el vestuario.
#RealMadrid | #CAMPEON35 https://t.co/Ceou4qddNE",0,Sat Apr 30 23:59:27 +0000 2022,['realmadrid']
