,username,tweet_content,n_favorites,timestamp,mentions
0,proespanyol,"Pues si es cierto, me parece una broma de mal gusto #rcde https://t.co/H0UL9l93rv",0,Sat Apr 30 23:37:22 +0000 2022,[]
1,RcdeOvunque,RT @OldRcd: Presentaciones de las alineaciones de la final de la UEFA CUP que se disputó ante el Sevilla en Glasgow en la temporada 06/07..…,0,Sat Apr 30 23:28:04 +0000 2022,['OldRcd']
2,Tindef91,"RT @Juvenil1991: Siempre supimos que el único pilar inquebrantable de nuestro Club, somos su fiel e incansable afición.

Quienes siempre de…",0,Sat Apr 30 23:27:57 +0000 2022,['Juvenil1991']
3,DonTxingurri,RT @OldRcd: Presentaciones de las alineaciones de la final de la UEFA CUP que se disputó ante el Sevilla en Glasgow en la temporada 06/07..…,0,Sat Apr 30 23:12:39 +0000 2022,['OldRcd']
4,sergiorello3,RT @SBlanquia: Quien te ha visto y quien te ve. #RCDE https://t.co/D6tztE0r6d,0,Sat Apr 30 23:11:06 +0000 2022,['SBlanquia']
5,OnlyPerico,RT @SweetLu10: A ver si os enteráis algunos de una vez que sin @RaulDeTomas9 seríamos colistas. #rcde,0,Sat Apr 30 23:07:28 +0000 2022,"['SweetLu10', 'RaulDeTomas9']"
6,tomjosespirall,"RT @pericos_marca: 🚨 @EblanES4 pide que alguien del club explique en las próximas horas el rumbo que tomará la entidad.

👇 ¡No te lo pierda…",0,Sat Apr 30 23:06:41 +0000 2022,"['pericos_marca', 'EblanES4']"
7,McFoonzo,"Me veo las 4 últimas jornadas con el tío de la 🧢 en el banquillo otra vez. 🤦
#RCDE https://t.co/55SLxL6Dfg",1,Sat Apr 30 23:05:20 +0000 2022,[]
8,jaume83162777,"RT @deharojavier61: ⚠️⚠️ @TIEMPODESPANYOL Ahora es muy fácil ""enterrar"" a Vicente Moreno y a Rufete cuando ya están muertos. Lo difícil era…",0,Sat Apr 30 23:05:18 +0000 2022,"['deharojavier61', 'TIEMPODESPANYOL']"
9,samuelruete,"RT @danimonti77: Espero que la gente acuda el domingo, hay que expresar nuestro malestar, sabemos qué es complicado cuando la prensa, Curva…",0,Sat Apr 30 23:04:45 +0000 2022,['danimonti77']
10,andreuarbona,RT @deharojavier61: ⚠️⚠️ @TIEMPODESPANYOL Por favor Presidente ÉCHELOS A TODOS!!! Este club @RCDEspanyol y la afición no se merecen este es…,0,Sat Apr 30 22:56:00 +0000 2022,"['deharojavier61', 'TIEMPODESPANYOL', 'RCDEspanyol']"
11,arnaubr83,"RT @tehubriego: @arnaubr83 hacéis lo que podéis, pero dais lo que no da el #RCDE, ilusión y orgullo.
Tenéis más ambición que en todo el @RC…",0,Sat Apr 30 22:54:30 +0000 2022,"['tehubriego', 'arnaubr83']"
12,elenacercos,RT @SBlanquia: Quien te ha visto y quien te ve. #RCDE https://t.co/D6tztE0r6d,0,Sat Apr 30 22:52:42 +0000 2022,['SBlanquia']
13,samuelruete,"RT @oscarriutort: Hoy debe ser cesado Rufete y cerrar esta semana un director deportivo de nivel, que empiece a planificar la limpieza de l…",0,Sat Apr 30 22:49:21 +0000 2022,['oscarriutort']
14,viicchh,La cara de Mao sin entender todavía que ha pasado expresa PERFECTAMENTE la situación de la broma de club ahora repr… https://t.co/4m9nvJWxt2,0,Sat Apr 30 22:48:46 +0000 2022,[]
15,OnlyPerico,El problema es RDT? No. El problema es que hay gente que cree que RDT es el problema. Sois el peor enemigo del… https://t.co/Cgcq8aoxEL,8,Sat Apr 30 22:48:43 +0000 2022,[]
16,Claudiet71,El sueño de @qiglesias. #rcde https://t.co/5Rkih6HgrG,1,Sat Apr 30 22:43:33 +0000 2022,['qiglesias']
17,LRos10,"Para fichar a Cannavaro, me quedo con Luis, si esto va de experimentos prefiero el que siente los colores antes que… https://t.co/7w8rrp0i8l",3,Sat Apr 30 22:42:55 +0000 2022,[]
18,ToniCamposAlos,"RT @Futbolyrcde: Me hace gracia esa gente que dice ""contra el Madrid no metéis la pierna"", como si la hubiéramos metido contra el Rayo o el…",0,Sat Apr 30 22:40:06 +0000 2022,['Futbolyrcde']
19,VallsVallspere,"RT @Jorge18994756: En días como hoy echo de menos a este tipo, Fernando Lara, el único proyecto deportivo con cara y ojos que ha tenido el…",0,Sat Apr 30 22:37:35 +0000 2022,['Jorge18994756']
20,jmhd73,"Para los que se les llena la boca, @RCDEspanyol gano al @realmadrid en la ida. #rcde",0,Sat Apr 30 22:36:40 +0000 2022,"['RCDEspanyol', 'realmadrid']"
21,maariaanp,RT @AlexPerezEsc: Las sensaciones de este final de temporada son terribles. Las imágenes que deja este partido pueden hacer mucho daño. No…,0,Sat Apr 30 22:32:53 +0000 2022,['AlexPerezEsc']
22,jmolas,El #RCDE tiene el décimo presupuesto de la liga y con Vicente Moreno ha conseguido la increible cifra de 8 puntos d… https://t.co/afjSDxM259,2,Sat Apr 30 22:31:10 +0000 2022,[]
