,username,tweet_content,n_favorites,timestamp,mentions
0,luisfwbiano,RT @realmadrid: #RMFans x Cibeles x #CAMPEON35 = 😍 https://t.co/dlvFumXv5G,0,Sat Apr 30 23:59:59 +0000 2022,['realmadrid']
1,wantan_ver2,RT @realmadrid: #RMFans x Cibeles x #CAMPEON35 = 😍 https://t.co/dlvFumXv5G,0,Sat Apr 30 23:59:56 +0000 2022,['realmadrid']
2,Davvonx,RT @realmadrid: #RMFans x Cibeles x #CAMPEON35 = 😍 https://t.co/dlvFumXv5G,0,Sat Apr 30 23:59:52 +0000 2022,['realmadrid']
3,AbdallahJR16,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:59:51 +0000 2022,['realmadrid']
4,mubyjay,RT @realmadriden: #RMFans x Cibeles x #CAMPEON35 = 😍 https://t.co/qeIzTKVAIc,0,Sat Apr 30 23:59:45 +0000 2022,['realmadriden']
5,RubenMusic4ever,"RT @realmadrid: ©️ @MarceloM12: ""¡CAMPEONES! ¡Esto es para vosotros, #RMFans!""
#CAMPEON35 https://t.co/xoK7dH8zgJ",0,Sat Apr 30 23:59:44 +0000 2022,"['realmadrid', 'MarceloM12']"
6,luisfwbiano,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:59:37 +0000 2022,['realmadrid']
7,Mn_RCfx,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:59:26 +0000 2022,['realmadrid']
8,ipoolgian,"RT @namzugvic: Hoy puede ser el día, ese que después de mucho trabajo y esfuerzo durante una temporada, de el premio de levantar un título…",0,Sat Apr 30 23:59:21 +0000 2022,['namzugvic']
9,airbornemiami,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:59:17 +0000 2022,['realmadrid']
10,jesacost,RT @realmadrid: #RMFans x Cibeles x #CAMPEON35 = 😍 https://t.co/dlvFumXv5G,0,Sat Apr 30 23:59:06 +0000 2022,['realmadrid']
11,mdkrmb1,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:59:01 +0000 2022,['realmadrid']
12,saaramdz,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:58:51 +0000 2022,['realmadrid']
13,MetaversoDelPU,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:58:49 +0000 2022,['realmadrid']
14,wantan_ver2,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:58:45 +0000 2022,['realmadrid']
15,loickevin577,"RT @realmadrid: 🔍 ¿Me podéis decir qué pone en el autobús, #RMFans? Que no lo leo bien...
#CAMPEON35 https://t.co/v1Xpu1DD8N",0,Sat Apr 30 23:58:43 +0000 2022,['realmadrid']
16,RubenMusic4ever,"RT @realmadrid: 💜 ¡Este título es para vosotros, #RMFANS! 💜
#CAMPEON35 https://t.co/BCN6m7zqUQ",0,Sat Apr 30 23:58:42 +0000 2022,['realmadrid']
17,andredenisse108,"RT @realmadrid: 🔍 ¿Me podéis decir qué pone en el autobús, #RMFans? Que no lo leo bien...
#CAMPEON35 https://t.co/v1Xpu1DD8N",0,Sat Apr 30 23:58:41 +0000 2022,['realmadrid']
18,_CadismoPuro_,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:58:38 +0000 2022,['realmadrid']
19,thaguzz8,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:58:34 +0000 2022,['realmadrid']
20,JordanJoss79,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:58:19 +0000 2022,['realmadrid']
21,kingsleyowusub2,"RT @realmadrid: 🔍 ¿Me podéis decir qué pone en el autobús, #RMFans? Que no lo leo bien...
#CAMPEON35 https://t.co/v1Xpu1DD8N",0,Sat Apr 30 23:57:54 +0000 2022,['realmadrid']
22,aphilippe91,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:57:39 +0000 2022,['realmadrid']
23,airbornemiami,"RT @realmadrid: 🔍 ¿Me podéis decir qué pone en el autobús, #RMFans? Que no lo leo bien...
#CAMPEON35 https://t.co/v1Xpu1DD8N",0,Sat Apr 30 23:57:35 +0000 2022,['realmadrid']
24,Babamoustapha8,"RT @realmadrid: La foto que necesitabais, #RMFans. 
#CAMPEON35 https://t.co/ahqFsuMV1Z",0,Sat Apr 30 23:57:34 +0000 2022,['realmadrid']
25,phoenixandtiger,RT @realmadrid: #RMFans x Cibeles x #CAMPEON35 = 😍 https://t.co/dlvFumXv5G,0,Sat Apr 30 23:57:15 +0000 2022,['realmadrid']
