,username,tweet_content,n_favorites,timestamp,mentions
0,RCDEFutbolBase,"90+4' | 2-2 | 🟥 Chico

#RCDE | #planterRCDE https://t.co/XMEKNjO5ZS",0,Sat Apr 30 18:24:43 +0000 2022,[]
1,RCDEFutbolBase,"90+1' | 2-2 | Canvi a la SD Ejea

🔺 Dani Martínez
🔻 A. Sánchez

#RCDE | #planterRCDE https://t.co/jET9HpP6Qd",2,Sat Apr 30 18:21:39 +0000 2022,[]
2,sergihio199,"RT @RCDEFutbolBase: 67' | 2-2 | Empata l'Ejea

#RCDE | #planterRCDE",0,Sat Apr 30 17:58:14 +0000 2022,['RCDEFutbolBase']
3,RCDEFutbolBase,"67' | 2-2 | Empata l'Ejea

#RCDE | #planterRCDE",0,Sat Apr 30 17:56:27 +0000 2022,[]
4,sergihio199,"RT @RCDEFutbolBase: 20' | 2-1 | Gol de la SD Ejea

#RCDE | #planterRCDE",0,Sat Apr 30 16:53:35 +0000 2022,['RCDEFutbolBase']
5,RCDEFutbolBase,"20' | 2-1 | Gol de la SD Ejea

#RCDE | #planterRCDE",0,Sat Apr 30 16:52:42 +0000 2022,[]
6,RCDEAcademyNJ,"RT @RCDEFutbolBase: 🎙️ PREVIA | ""Será un partido exigente""

El Juvenil A juega este sábado ante un necesitado Sant Andreu

#RCDE | #planter…",0,Fri Apr 29 08:21:19 +0000 2022,['RCDEFutbolBase']
7,JessExposito3,"RT @RCDEFutbolBase: 🎙️ PREVIA | ""Será un partido exigente""

El Juvenil A juega este sábado ante un necesitado Sant Andreu

#RCDE | #planter…",0,Fri Apr 29 08:15:08 +0000 2022,['RCDEFutbolBase']
8,RCDEFutbolBase,"🎙️ PREVIA | ""Será un partido exigente""

El Juvenil A juega este sábado ante un necesitado Sant Andreu

#RCDE | #planterRCDE",11,Fri Apr 29 08:08:34 +0000 2022,[]
9,PepRogCar,"RT @lagradaonline: 🎩 Roger Martínez muestra su espectacular clase con España sub-18.

⚽ El jugador del Espanyol B se encuentra concentrado…",0,Thu Apr 28 09:01:49 +0000 2022,['lagradaonline']
10,Apocalipticos21,"RT @lagradaonline: 🎩 Roger Martínez muestra su espectacular clase con España sub-18.

⚽ El jugador del Espanyol B se encuentra concentrado…",0,Wed Apr 27 21:38:05 +0000 2022,['lagradaonline']
11,Pereferpe,"RT @lagradaonline: 🎩 Roger Martínez muestra su espectacular clase con España sub-18.

⚽ El jugador del Espanyol B se encuentra concentrado…",0,Wed Apr 27 19:05:01 +0000 2022,['lagradaonline']
12,JessExposito3,"RT @RCDEFutbolBase: RESULTAT FINAL:

Jabac 1-3 Aleví B

⚽ Chacón
⚽ Vizcaíno
⚽ Daehan

#RCDE | #planterRCDE",0,Wed Apr 27 19:04:40 +0000 2022,['RCDEFutbolBase']
13,RCDEFutbolBase,"RESULTAT FINAL:

Jabac 1-3 Aleví B

⚽ Chacón
⚽ Vizcaíno
⚽ Daehan

#RCDE | #planterRCDE",23,Wed Apr 27 18:46:27 +0000 2022,[]
14,lagradaonline,"🎩 Roger Martínez muestra su espectacular clase con España sub-18.

⚽ El jugador del Espanyol B se encuentra concent… https://t.co/WQdO9c5Ivl",26,Wed Apr 27 18:31:00 +0000 2022,[]
15,Apocalipticos21,"RT @lagradaonline: 🗣 Javi Chica, entrenador del Juvenil B, sabe que la categoría es una de las más complicadas de la cantera.

🎙 ""Podemos h…",0,Tue Apr 26 23:43:17 +0000 2022,['lagradaonline']
16,JessExposito3,"RT @RCDEFemeni: RESULTAT FINAL:

Manu Lanzarote 1-2 Juvenil A

⚽️Aitana Fernández 
⚽️Ainhoa Domenech

#RCDEFem | #planterRCDE",0,Tue Apr 26 20:27:47 +0000 2022,['RCDEFemeni']
17,JuanitoCruz11,"RT @RCDEFemeni: RESULTAT FINAL:

Manu Lanzarote 1-2 Juvenil A

⚽️Aitana Fernández 
⚽️Ainhoa Domenech

#RCDEFem | #planterRCDE",0,Tue Apr 26 20:26:38 +0000 2022,['RCDEFemeni']
18,RCDEFemeni,"RESULTAT FINAL:

Manu Lanzarote 1-2 Juvenil A

⚽️Aitana Fernández 
⚽️Ainhoa Domenech

#RCDEFem | #planterRCDE",18,Tue Apr 26 20:26:03 +0000 2022,[]
19,lagradaonline,"🗣 Javi Chica, entrenador del Juvenil B, sabe que la categoría es una de las más complicadas de la cantera.

🎙 ""Pode… https://t.co/wevDF11GSF",9,Tue Apr 26 17:32:27 +0000 2022,[]
20,raulrsan,"RT @RCDEFutbolBase: 𝗠𝗔𝗡 𝗢𝗙 𝗧𝗛𝗘 𝗠𝗔𝗧𝗖𝗛

👏 Para nuestro doctor, Quique! Y todos los sanitarios que había hoy en el Mpal. de Santa Eulària

💪 D…",0,Mon Apr 25 19:54:05 +0000 2022,['RCDEFutbolBase']
21,pedro_rcde,"RT @RCDEFutbolBase: 𝗠𝗔𝗡 𝗢𝗙 𝗧𝗛𝗘 𝗠𝗔𝗧𝗖𝗛

👏 Para nuestro doctor, Quique! Y todos los sanitarios que había hoy en el Mpal. de Santa Eulària

💪 D…",0,Mon Apr 25 08:10:17 +0000 2022,['RCDEFutbolBase']
22,depetxenaiz,"RT @RCDEFutbolBase: 𝗠𝗔𝗡 𝗢𝗙 𝗧𝗛𝗘 𝗠𝗔𝗧𝗖𝗛

👏 Para nuestro doctor, Quique! Y todos los sanitarios que había hoy en el Mpal. de Santa Eulària

💪 D…",0,Mon Apr 25 08:07:03 +0000 2022,['RCDEFutbolBase']
